case,runner,repetition,case_sha256,commit,gate_status,oracle_status,model_calls,estimated_cost_usd,repair_seconds,grader_seconds,patch_lines
inclusive-range,upstream,2,77655716c4f9e93693553b8a32032ac2c0a936aad52f70140fd3f2817780d44f,163677ec719e04a118c3e1c0179ce2f601095977,PASS,PASS,8,0.002140752,9.347714165982325,0.8988646669895388,4
inclusive-range,ci-repair,2,77655716c4f9e93693553b8a32032ac2c0a936aad52f70140fd3f2817780d44f,163677ec719e04a118c3e1c0179ce2f601095977,PASS,PASS,4,0.000850368,4.991865249990951,0.9296047500101849,2
json-import,ci-repair,2,cbb88851879669fee3ef1e861957d0d844f983fb565d720eaf37f3404c235f16,c27b8809bda3cd5c70d353695ffa893d301e9b59,PASS,PASS,4,0.000656376,4.593269459030125,0.9665904589928687,4
json-import,upstream,2,cbb88851879669fee3ef1e861957d0d844f983fb565d720eaf37f3404c235f16,c27b8809bda3cd5c70d353695ffa893d301e9b59,PASS,PASS,6,0.001689504,7.269233500002883,0.9495771250221878,4
stable-dedup,upstream,2,86e6f72fde85bd07a986177c45f7de7681237f307ce3cffe5e42f64994ef1185,f6befe49771703314a02386bf29b0bf595e38cb9,PASS,PASS,7,0.001916796,8.825338084017858,0.8811566249933094,8
stable-dedup,ci-repair,2,86e6f72fde85bd07a986177c45f7de7681237f307ce3cffe5e42f64994ef1185,f6befe49771703314a02386bf29b0bf595e38cb9,PASS,PASS,5,0.00101118,5.717292500019539,0.8891709999879822,8
syntax-colon,ci-repair,2,fc848da6ce6dbd7402381e997a7731925df0b170b5e468fba96528dc1f87a568,0c5b1662b95af9285306155e11b82629fa224804,PASS,PASS,5,0.000793452,5.303554874961264,0.8795161659945734,2
syntax-colon,upstream,2,fc848da6ce6dbd7402381e997a7731925df0b170b5e468fba96528dc1f87a568,0c5b1662b95af9285306155e11b82629fa224804,PASS,PASS,6,0.001616904,7.33154874999309,0.8551927920198068,2
boolean-config,ci-repair,3,7b06ccacfcbaa20dbe52eca5d9642ff8469a549d7232e4784683bfafc3dc92f5,21911667a0364c919bfc1424a31d7e878ef384bb,PASS,PASS,4,0.0008103959999999999,4.692668750009034,0.8608106250176206,4
boolean-config,upstream,3,7b06ccacfcbaa20dbe52eca5d9642ff8469a549d7232e4784683bfafc3dc92f5,21911667a0364c919bfc1424a31d7e878ef384bb,PASS,PASS,7,0.0033057719999999994,13.414868083957117,0.8632433339953423,2
empty-average,upstream,3,4db8cd8390561c45ee15f54faf461775c0fa49e14978ce76fd28aefeea7db9e5,d85c94488e6d30a4584f31bfeff0b35741a0fcd8,PASS,PASS,5,0.0011811119999999998,6.2056882079923525,0.8788620829582214,2
empty-average,ci-repair,3,4db8cd8390561c45ee15f54faf461775c0fa49e14978ce76fd28aefeea7db9e5,d85c94488e6d30a4584f31bfeff0b35741a0fcd8,PASS,PASS,4,0.0006222719999999999,4.732640333008021,0.8628692500060424,2
inclusive-range,ci-repair,3,77655716c4f9e93693553b8a32032ac2c0a936aad52f70140fd3f2817780d44f,163677ec719e04a118c3e1c0179ce2f601095977,PASS,PASS,4,0.0007950359999999999,5.381220542010851,0.88220845797332,2
inclusive-range,upstream,3,77655716c4f9e93693553b8a32032ac2c0a936aad52f70140fd3f2817780d44f,163677ec719e04a118c3e1c0179ce2f601095977,PASS,PASS,6,0.001796268,6.856438791030087,0.8516912910272367,2
json-import,upstream,3,cbb88851879669fee3ef1e861957d0d844f983fb565d720eaf37f3404c235f16,c27b8809bda3cd5c70d353695ffa893d301e9b59,PASS,PASS,7,0.0018550679999999999,8.718285541981459,0.9260524169658311,4
json-import,ci-repair,3,cbb88851879669fee3ef1e861957d0d844f983fb565d720eaf37f3404c235f16,c27b8809bda3cd5c70d353695ffa893d301e9b59,PASS,PASS,5,0.000934056,5.545156957989093,0.9409682499826886,5
stable-dedup,ci-repair,3,86e6f72fde85bd07a986177c45f7de7681237f307ce3cffe5e42f64994ef1185,f6befe49771703314a02386bf29b0bf595e38cb9,PASS,PASS,4,0.0006236999999999999,4.6735356250428595,0.863982709008269,8
stable-dedup,upstream,3,86e6f72fde85bd07a986177c45f7de7681237f307ce3cffe5e42f64994ef1185,f6befe49771703314a02386bf29b0bf595e38cb9,PASS,PASS,7,0.00287046,12.07132162497146,0.8557768749888055,2
syntax-colon,upstream,3,fc848da6ce6dbd7402381e997a7731925df0b170b5e468fba96528dc1f87a568,0c5b1662b95af9285306155e11b82629fa224804,PASS,PASS,5,0.0015033839999999998,6.5524005420156755,0.8594392499653623,2
syntax-colon,ci-repair,3,fc848da6ce6dbd7402381e997a7731925df0b170b5e468fba96528dc1f87a568,0c5b1662b95af9285306155e11b82629fa224804,PASS,PASS,3,0.000510924,3.9085611660266295,0.8478902920032851,2
